ant -f "C:\\Users\\Brendan Burns\\Documents\\GitHub\\MachineLearnGroup\\Clustering" -Dnb.internal.action.name=run run
init:
Deleting: C:\Users\Brendan Burns\Documents\GitHub\MachineLearnGroup\Clustering\build\built-jar.properties
deps-jar:
Updating property file: C:\Users\Brendan Burns\Documents\GitHub\MachineLearnGroup\Clustering\build\built-jar.properties
compile:
run:
Relation: data_banknote_authentication
File: banknote
Number examples: 1372
Number of attributes: 4 (Oops, it looked like 5 on UCI but they count the class)
Alg: DB_Scan
Length of dataFile 4
1.8592 3.2074 -0.15966 -0.26208 
4.7285 2.1065 -0.28305 1.5625 
4.8851 1.5995 -2.9081E-4 1.6401 
0.75736 3.0294 2.9164 -0.068117 
4.0552 0.40143 1.4563 0.65343 
4.3634 0.46351 1.4281 2.0202 
1.1472 3.5985 1.9387 -0.43406 
0.83292 7.5404 0.65005 -0.92544 
1.0607 2.4542 2.5188 -0.17027 
2.2504 3.5757 0.35273 0.2836 
3.7635 2.7811 0.66119 0.34179 
3.9382 0.9291 0.78543 0.6767 
0.88872 5.3449 2.045 -0.19355 
2.1948 1.3781 1.1582 0.85774 
1.3114 4.5462 2.2935 0.22541 
3.4769 -0.15314 2.53 2.4495 
2.5678 3.5136 0.61406 -0.40691 
4.3435 3.3295 0.83598 0.64955 
5.2012 0.32694 0.17965 1.1797 
4.7114 2.0755 -0.2702 1.2379 
1.3234 3.2964 0.2362 -0.11984 
2.5581 2.6218 1.8513 0.40257 
2.0007 1.8644 2.6491 0.47369 
3.5829 1.4423 1.0219 1.4008 
3.4246 -0.14693 0.80342 0.29136 
4.052 -0.16555 0.45383 0.51248 
4.6689 1.3098 0.055404 1.909 
2.4527 2.9653 0.20021 -0.056479 
2.7961 2.121 1.8385 0.38317 
-0.16682 5.8974 0.49839 -0.70044 
4.8265 0.80287 1.6371 1.1875 
3.577 2.4004 1.8908 0.73231 
2.5559 3.3605 2.0321 0.26809 
4.7926 1.7071 -0.051701 1.4926 
0.76163 5.8209 1.1959 -0.64613 
0.38251 6.8121 1.8128 -0.61251 
-0.53966 7.3273 0.46583 -1.4543 
2.2893 3.733 0.6312 -0.39786 
2.5989 3.5178 0.7623 0.81119 
3.1088 3.1122 0.80857 0.4336 
2.4673 1.3926 1.7125 0.41421 
3.5127 2.9073 1.0579 0.40774 
3.931 1.8541 -0.023425 1.2314 
2.4012 1.6223 3.0312 0.71679 
0.29961 7.1328 -0.31475 -1.1828 
5.7403 -0.44284 0.38015 1.3763 
1.8799 2.4707 2.4931 0.37671 
5.1321 -0.031048 0.32616 1.1151 
3.8999 1.734 1.6011 0.96765 
3.8644 3.7061 0.70403 0.35214 
3.6702 2.9942 0.85141 0.30688 
2.5367 2.599 2.0938 0.20085 
2.8237 2.8597 0.19678 0.57196 
1.3087 4.9228 2.0013 0.22024 
0.77765 5.9781 1.1941 -0.3526 
3.5288 0.71596 1.9507 1.9375 
4.0047 0.45937 1.3621 1.6181 
2.3066 3.5364 0.57551 0.41938 
Cluster # 2 
-3.5681 -8.213 10.083 0.96765 
-3.3884 -8.215 10.3315 0.98187 
-3.8073 -8.0971 10.1772 0.65084 
-3.1158 -8.6289 10.4403 0.97153 
-3.8894 -7.8322 9.8208 0.47498 
-3.7573 -8.2916 10.3032 0.38059 
-2.9498 -8.273 10.2646 1.1629 
Cluster # 3 
3.8496 9.7939 -4.1508 -4.4582 
1.1558 6.4003 1.5506 0.6961 
2.4287 9.3821 -3.2477 -1.4543 
1.9157 6.0816 0.23705 -2.0116 
3.4776 8.811 -3.1886 -0.92285 
3.6077 6.8576 -1.1622 0.28231 
4.2164 9.4607 -4.9288 -5.2366 
4.0524 5.6802 -1.9693 0.026279 
5.7823 5.5788 -2.4089 -0.056479 
2.6718 5.6574 0.72974 -1.4892 
1.5356 9.1772 -2.2718 -0.73535 
3.534 9.3614 -3.6316 -1.2461 
2.4235 9.5332 -3.0789 -2.7746 
0.77124 9.0862 -1.2281 -1.4996 
1.8993 7.6625 0.15394 -3.1108 
3.0009 5.8126 -2.2306 -0.66553 
2.0843 6.6258 0.48382 -2.2134 
3.7352 9.5911 -3.9032 -3.3487 
3.6582 5.6864 -1.7157 -0.23751 
3.6216 8.6661 -2.8073 -0.44699 
2.9719 6.8369 -0.2702 0.71291 
5.2423 11.0272 -4.353 -4.1013 
3.1452 5.825 -0.51439 -1.4944 
5.3915 9.9946 -3.8081 -3.3642 
3.404 8.7261 -2.9915 -0.57242 
5.4188 10.1457 -4.084 -3.6991 
3.2294 7.7391 -0.37816 -2.5405 
0.93611 8.6413 -1.6351 -1.3043 
3.2051 8.6889 -2.9033 -0.7819 
-0.96511 9.4111 1.7305 -4.8629 
1.8205 6.7562 0.0099913 0.39481 
3.9362 10.1622 -3.8235 -4.0172 
4.1542 7.2756 -2.4766 -1.2099 
2.7831 10.9796 -3.557 -4.4039 
3.3004 7.0811 -1.3258 0.22283 
5.2418 10.5388 -4.1174 -4.2797 
2.994 7.2011 -1.2153 0.3211 
5.032 8.2026 -2.6256 -1.0341 
-0.91718 9.9884 1.1804 -5.2263 
5.681 7.795 -2.6848 -0.92544 
1.0284 9.767 -1.3687 -1.7853 
3.7831 10.0526 -3.8869 -3.7366 
2.6213 5.7919 0.065686 -1.5759 
-0.0068919 9.2931 -0.41243 -1.9638 
3.245 6.63 -0.63435 0.86937 
3.7935 7.9853 -2.5477 -1.872 
5.3063 5.2684 -2.8904 -0.52716 
5.438 9.4669 -4.9417 -3.9202 
4.7965 6.9859 -1.9967 -0.35001 
3.4805 9.7008 -3.7541 -3.4379 
4.6014 5.6264 -2.1235 0.19309 
5.8519 5.3905 -2.4037 -0.061652 
3.2351 9.647 -3.2074 -2.5948 
1.8114 7.6067 -0.9788 -2.4668 
1.0652 8.3682 -1.4004 -1.6509 
2.9856 7.2673 -0.409 -2.2431 
2.3136 10.6651 -3.5288 -4.7672 
2.6946 6.7976 -0.40301 0.44912 
4.3064 8.2068 -2.7824 -1.4336 
4.5447 8.2274 -2.4166 -1.5875 
3.8969 7.4163 -1.8245 0.14007 
0.17346 7.8695 0.26876 -3.7883 
3.2704 6.9321 -1.0456 0.23447 
2.2526 9.9636 -3.1749 -2.9944 
5.8862 5.8747 -2.8167 -0.30087 
-0.016103 9.7484 0.15394 -1.6134 
2.9421 7.4101 -0.97709 -0.88406 
4.1605 11.2196 -3.6136 -4.0819 
5.0185 8.5978 -2.9375 -1.281 
2.5328 7.528 -0.41929 -2.6478 
2.8033 9.0862 -3.3668 -1.0224 
2.7744 6.8576 -1.0671 0.075416 
0.0071249 8.3661 0.50781 -3.8155 
3.2032 5.7588 -0.75345 -0.61251 
5.7867 7.8902 -2.6196 -0.48708 
1.2706 8.035 -0.19651 -2.1888 
2.614 8.0081 -3.7258 -1.3069 
2.7391 7.4018 0.071684 -2.5302 
4.1349 6.1189 -2.4294 -0.19613 
4.4338 9.887 -4.6795 -3.7483 
4.0102 10.6568 -4.1388 -5.0646 
5.1302 8.6703 -2.8913 -1.5086 
-0.69572 8.6165 1.8419 -4.3289 
4.9923 7.8653 -2.3515 -0.71984 
1.8314 6.3672 -0.036278 0.049554 
2.6881 6.0195 -0.46641 -0.69268 
3.9663 10.1684 -4.1131 -4.6056 
2.483 6.6155 -0.79287 -0.90863 
2.8232 10.8513 -3.1466 -3.9784 
-1.3274 9.498 2.4408 -5.2689 
2.6562 10.7044 -3.3085 -4.0767 
5.6272 10.0857 -4.2931 -3.8142 
4.0962 10.1891 -3.9323 -4.1827 
-1.4572 9.1214 1.7425 -5.1241 
2.8084 11.3045 -3.3394 -4.4194 
1.0009 7.7846 -0.28219 -2.6608 
3.7982 10.423 -4.1602 -4.9728 
4.0713 10.4023 -4.1722 -4.7582 
2.1059 7.6046 -0.47755 -1.8461 
3.7731 7.2073 -1.6814 -0.94742 
3.4669 6.87 -1.0568 -0.73147 
0.14783 7.946 1.0742 -3.3409 
3.4642 10.6878 -3.4071 -4.109 
2.5635 6.7769 -0.61979 0.38576 
2.4196 6.4665 -0.75688 0.228 
2.0139 6.1416 0.37929 0.56938 
3.5152 6.8224 -0.67377 -0.46898 
3.8481 10.1539 -3.8561 -4.2228 
4.2478 7.6956 -2.7696 -1.0767 
4.7181 10.0153 -3.9486 -3.8582 
1.2247 8.7779 -2.2135 -0.80647 
2.1265 6.8783 0.44784 -2.2224 
3.82 10.9279 -4.0112 -5.0284 
4.5707 7.2094 -3.2794 -1.4944 
1.3349 6.1189 0.46497 0.49826 
3.5761 9.7753 -3.9795 -3.4638 
2.7206 9.0821 -3.3111 -0.96811 
2.2034 5.9947 0.53009 0.84998 
2.229 9.6325 -3.1123 -2.7164 
2.3952 9.5083 -3.1783 -3.0086 
1.1811 8.3847 -2.0567 -0.90345 
1.9647 6.9383 0.57722 0.66377 
3.8384 6.1851 -2.0439 -0.033204 
1.9429 6.3961 0.092248 0.58102 
2.8209 7.3108 -0.81857 -1.8784 
3.9166 10.2491 -4.0926 -4.4659 
1.9105 8.871 -2.3386 -0.75604 
5.1776 8.2316 -3.2511 -1.5694 
5.7353 5.2808 -2.2598 0.075416 
4.8368 10.0132 -4.3239 -4.3276 
3.4893 6.69 -1.2042 -0.38751 
2.3718 7.4908 0.015989 -1.7414 
1.5478 9.1814 -1.6326 -1.7375 
3.884 10.0277 -3.9298 -4.0819 
3.4591 11.112 -4.2039 -5.0931 
1.5691 6.3465 -0.1828 -2.4099 
3.2303 7.8384 -3.5348 -1.2151 
1.4276 8.3847 -2.0995 -1.9677 
-0.21661 8.0329 1.8848 -3.8853 
1.1315 7.9212 1.093 -2.8444 
2.8297 6.3485 -0.73546 -0.58665 
3.359 9.8022 -3.8209 -3.7133 
4.2586 11.2962 -4.0943 -4.3457 
5.1213 8.5565 -3.3917 -1.5474 
3.1896 5.7526 -0.18537 -0.30087 
1.8533 6.1458 1.0176 -2.0401 
1.5673 7.9274 -0.056842 -2.1694 
3.0948 8.7324 -2.9007 -0.96682 
0.87256 9.2931 -0.7843 -2.1978 
3.5982 7.1307 -1.3035 0.21248 
2.8523 9.0096 -3.761 -3.3371 
1.3754 8.8793 -1.9136 -0.53751 
1.9321 6.0423 0.26019 -2.053 
1.0135 8.4551 -1.672 -2.0815 
3.4092 5.4049 -2.5228 -0.89958 
2.6648 10.754 -3.3994 -4.1685 
2.108 6.7955 -0.1708 0.4905 
3.8832 6.4023 -2.432 -0.98363 
6.8248 5.2187 -2.5425 0.5461 
2.1464 6.0795 -0.5778 -2.2302 
2.8561 6.9176 -0.79372 0.48403 
4.1711 8.722 -3.0224 -0.59699 
2.6104 8.0081 -0.23592 -1.7608 
5.504 10.3671 -4.413 -4.0211 
4.2969 7.617 -2.3874 -0.96164 
4.3483 11.1079 -4.0857 -4.2539 
0.56953 7.6294 1.5754 -3.2233 
3.8117 10.1457 -4.0463 -4.5629 
3.1836 7.2321 -1.0713 -2.5909 
2.8521 9.171 -3.6461 -1.2047 
3.5156 10.1891 -4.2759 -4.978 
1.1166 8.6496 -0.96252 -1.8112 
1.1676 9.1566 -2.0867 -0.80647 
4.6562 7.6398 -2.4243 -1.2384 
0.5734 9.1938 -0.9094 -1.872 
3.3583 10.3567 -3.7301 -3.6991 
0.77445 9.0552 -2.4089 -1.3884 
3.9102 6.065 -2.4534 -0.68234 
5.807 5.0097 -2.2384 0.43878 
4.9264 5.496 -2.4774 -0.50648 
2.2091 7.4556 -1.3284 -3.3021 
4.1195 10.9258 -3.8929 -4.1802 
3.946 6.8514 -1.5443 -0.5582 
4.7072 8.2957 -2.5605 -1.4905 
3.2422 6.2265 0.12224 -1.4466 
4.4069 10.9072 -4.5775 -4.4271 
-0.2361 9.3221 2.1307 -4.3793 
2.3729 10.4726 -3.0087 -3.2013 
-1.0401 9.3987 0.85998 -5.3336 
3.8417 10.0215 -4.2699 -4.9159 
-0.7056 8.7241 2.2215 -4.5965 
3.106 9.5414 -4.2536 -4.003 
5.6084 10.3009 -4.8003 -4.3534 
1.2746 8.8172 -1.5323 -1.7957 
-0.12196 8.8068 0.94566 -4.2267 
5.0214 8.0764 -3.0515 -1.7155 
5.591 10.4643 -4.3839 -4.3379 
4.0127 10.1477 -3.9366 -4.0728 
-0.16735 7.6274 1.2061 -3.6241 
5.7456 10.1808 -4.7857 -4.3366 
1.5701 7.9129 0.29018 -2.1953 
2.3925 9.798 -3.0361 -2.8224 
4.0932 5.4132 -1.8219 0.23576 
4.1454 7.257 -1.9153 -0.86078 
4.8451 8.1116 -2.9512 -1.4724 
0.66191 9.6594 -0.28819 -1.6638 
4.2899 9.1814 -4.6067 -4.3263 
2.565 8.633 -2.9941 -1.3082 
-0.38214 8.3909 2.1624 -3.7405 
4.9852 8.3516 -2.5425 -1.2823 
2.9742 8.96 -2.9024 -1.0379 
2.9695 5.6222 0.27561 -1.1556 
4.1757 10.2615 -3.8552 -4.3056 
0.92703 9.4318 -0.66263 -1.6728 
2.5605 9.2683 -3.5913 -1.356 
3.4916 8.5709 -3.0326 -0.59182 
1.5456 8.5482 0.4187 -2.1784 
2.2546 8.0992 -0.24877 -3.2698 
2.5817 9.7546 -3.1749 -2.9957 
3.9771 11.1513 -3.9272 -4.3444 
3.5458 9.3718 -4.0351 -3.9564 
1.8664 7.7763 -0.23849 -2.9634 
2.6917 10.8161 -3.3 -4.2888 
4.5459 8.1674 -2.4586 -1.4621 
1.9358 8.1654 -0.023425 -2.2586 
3.5189 6.332 -1.7791 -0.020273 
0.93584 8.8855 -1.6831 -1.6599 
0.12326 8.9848 -0.9351 -2.4332 
2.9233 6.0464 -0.11168 -0.58665 
0.040498 8.5234 1.4461 -3.9306 
1.105 7.4432 0.41099 -3.0332 
3.7767 9.7794 -3.9075 -3.5323 
3.7022 6.9942 -1.8511 -0.12889 
1.518 5.6946 0.094818 -0.026738 
4.0715 7.6398 -2.0824 -1.1698 
0.96574 8.393 -1.361 -1.4659 
1.602 6.1251 0.52924 0.47886 
4.8278 7.7598 -2.4491 -1.2216 
0.21084 9.4359 -0.094543 -1.859 
4.6464 10.5326 -4.5852 -4.206 
1.9265 7.7557 -0.16823 -3.0771 
2.9163 10.8306 -3.3437 -4.122 
1.8384 6.063 0.54723 0.51248 
2.6415 7.586 -0.28562 -1.6677 
4.616 10.1788 -4.2185 -4.4245 
2.4008 9.3593 -3.3565 -3.3526 
1.645 7.8612 -0.87598 -3.5569 
4.3684 9.6718 -3.9606 -3.1625 
-1.1193 10.7271 2.0938 -5.6504 
5.7227 5.8312 -2.4097 -0.24527 
3.4566 9.5228 -4.0112 -3.5944 
3.5358 6.7086 -0.81857 0.47886 
1.4806 7.6377 -2.7876 -1.0341 
1.4507 8.7903 -2.2324 -0.65259 
3.9262 6.0299 -2.0156 -0.065531 
2.4391 6.4417 -0.80743 -0.69139 
4.6499 7.6336 -1.9427 -0.37458 
-0.2951 9.0489 -0.52725 -2.0789 
1.1588 8.9331 -2.0807 -1.1272 
1.6849 8.7489 -1.2641 -1.3858 
2.8261 9.4007 -3.3034 -1.0509 
3.8197 8.9951 -4.383 -4.0327 
-1.2528 10.2036 2.1787 -5.6038 
3.6894 9.887 -4.0788 -4.3664 
0.96788 7.1907 1.2798 -2.4565 
2.549 6.1499 -1.1605 -1.2371 
3.9364 10.5885 -3.725 -4.3133 
2.8672 10.0008 -3.2049 -3.1095 
4.2188 6.8162 -1.2804 0.76076 
0.58982 7.4266 1.2353 -2.9595 
0.01727 8.693 1.3989 -3.9668 
5.8782 5.9409 -2.8544 -0.60863 
1.0182 9.109 -0.62064 -1.7129 
2.9736 8.7944 -3.6359 -1.3754 
1.8373 6.1292 0.84027 0.55257 
2.7213 7.05 -0.58808 0.41809 
3.7758 7.1783 -1.5195 0.40128 
4.9362 7.6046 -2.3429 -0.85302 
0.89566 7.7763 -2.7473 -1.9353 
3.4312 6.2637 -1.9513 -0.36165 
3.5499 8.6165 -3.2794 -1.2009 
2.6682 10.216 -3.4414 -4.0069 
2.2928 9.0386 -3.2417 -1.2991 
4.0446 11.1741 -4.3582 -4.7401 
5.9374 6.1664 -2.5905 -0.36553 
3.6575 7.2797 -2.2692 -1.144 
4.988 7.2052 -3.2846 -1.1608 
2.5089 6.841 -0.029423 0.44912 
1.2138 8.7986 -2.1672 -0.74182 
2.093 8.3061 0.022844 -3.2724 
1.9818 9.2621 -3.521 -1.872 
Cluster # 4 
-0.11783 -1.5789 8.03 -0.028031 
-0.10648 -0.76771 7.7575 0.64179 
-0.45062 -1.3678 7.0858 -0.40303 
-0.13144 -1.7775 8.3316 0.35214 
-0.048008 -1.6037 8.4756 0.75558 
0.20977 -0.46146 7.7267 0.90946 
0.3223 -0.89808 8.0883 0.69222 
-0.38388 -1.0471 8.0514 0.49567 
0.46901 -0.63321 7.3848 0.36507 
-0.33729 -0.64976 7.6659 0.72326 
-0.048008 -0.56078 7.7215 0.453 
Cluster # 5 
0.22432 -0.52147 -0.40386 1.2017 
-2.2677 3.2964 -2.2563 -2.4642 
-0.50816 2.868 -1.8108 -2.2612 
-1.9881 0.99945 -0.28562 -0.70044 
-3.3924 3.3564 -0.72004 -3.5233 
-3.9698 3.6812 -0.60008 -4.0133 
-1.005 0.084831 -0.2462 0.45688 
-0.014902 -1.0243 -0.94024 0.64955 
-2.5899 -0.3911 0.93452 0.42972 
-2.1674 0.12415 -1.0465 -0.86208 
-1.2667 2.8183 -2.426 -1.8862 
-0.39416 -0.020702 -0.066267 -0.44699 
0.40614 1.3492 -1.4501 -0.55949 
0.20216 1.9182 -3.2828 -0.61768 
-2.4941 3.5447 -1.3721 -2.8483 
0.37637 -0.82358 0.78543 0.74524 
-2.5419 -0.65804 2.6842 1.1952 
-0.49241 0.89392 -1.6283 -0.56854 
-1.3907 -1.3781 2.3055 -0.021566 
-1.4628 -1.5706 2.4357 0.49826 
-2.659 -1.6058 1.3647 0.16464 
-4.2091 4.7283 -0.49126 -5.2159 
-3.0201 -0.67253 2.7056 0.85774 
0.55939 -0.3104 0.18307 0.44653 
-0.51003 -0.23591 0.020273 0.76334 
-1.1188 3.3357 -1.3455 -1.9573 
-1.4174 -2.2535 1.518 0.61981 
-2.5084 -0.22763 1.488 1.2069 
1.0552 1.1857 -2.6411 0.11033 
-3.8952 3.8157 -0.31304 -3.8194 
0.56232 1.0015 -2.2726 -0.0060486 
0.74067 1.7299 -3.1963 -0.1457 
0.030219 -1.0512 1.4024 0.77369 
-3.7244 1.9037 -0.035421 -2.5095 
-1.8448 1.254 0.27218 -1.0728 
0.30081 0.17381 -1.7542 0.48921 
-1.1667 -1.4237 2.9241 0.66119 
0.11806 0.39108 -0.98223 0.42843 
-3.3203 -0.02691 2.9618 -0.44958 
-0.89409 3.1991 -1.8219 -2.9452 
-4.3967 4.9601 -0.64892 -5.4719 
-2.0441 1.2271 0.18564 -1.091 
-0.60254 1.7237 -2.1501 -0.77027 
-0.46651 2.3383 -2.9812 -1.0431 
-3.1366 0.42212 2.6225 -0.064238 
-1.7064 3.3088 -2.2829 -2.1978 
-0.55008 2.8659 -1.6488 -2.4319 
1.5077 1.9596 -3.0584 -0.12243 
-2.4725 -0.40145 1.4855 1.1189 
0.6005 1.9327 -3.2888 -0.32415 
0.75108 1.9161 -3.1098 -0.20518 
-1.1859 -1.2519 2.2635 0.77239 
-1.8483 0.31038 0.77344 1.4189 
-2.3898 -0.78427 3.0141 0.76205 
-2.6286 0.18002 1.7956 0.97282 
-1.0112 2.9984 -1.1664 -1.6185 
0.23874 2.0879 -3.3522 -0.66553 
-2.7338 0.45523 2.4391 0.21766 
-2.5346 -0.77392 3.3602 0.00171 
-0.83535 0.80494 -1.6411 -0.19225 
-1.6936 2.7852 -2.1835 -1.9276 
-0.88728 2.808 -3.1432 -1.2035 
-2.9821 4.1986 -0.5898 -3.9642 
-1.2369 -1.6906 2.518 0.51636 
1.0117 0.9022 -2.3506 0.42714 
0.12126 0.22347 -0.47327 0.97024 
-1.6641 -1.3678 1.997 0.52283 
-1.0833 -0.31247 1.2815 0.41291 
-3.8826 4.898 -0.92311 -5.0801 
1.2198 2.0982 -3.1954 0.12843 
0.24261 0.57318 -1.9402 0.44007 
-1.7549 -0.080711 -0.75774 -0.3707 
1.5631 0.89599 -1.9702 0.65472 
-2.0662 0.16967 -1.0054 -0.82975 
-2.1333 1.5685 -0.084261 -1.7453 
-1.0802 2.1996 -2.5862 -1.2759 
-2.0149 3.6874 -1.9385 -3.8918 
0.518 0.25865 -0.84085 0.96118 
0.15423 0.11794 -1.6823 0.59524 
-1.4233 -0.98912 2.3586 0.39481 
-0.10234 1.8189 -2.2169 -0.56725 
-1.6386 3.3584 -1.7302 -3.5646 
-2.2625 -0.099335 2.8127 0.48662 
-0.49948 1.7734 -2.2469 -0.68104 
-3.5933 0.22968 0.7126 -0.3332 
-1.3995 -1.9162 2.5154 0.59912 
-0.74324 -0.32902 -0.42785 0.23317 
-1.6706 -2.09 1.584 0.71162 
-0.40804 0.54214 -0.52725 0.6586 
0.18868 0.70148 -0.51182 0.0055892 
2.031 1.852 -3.0121 0.003003 
-0.77688 0.13036 -0.031137 -0.35389 
-3.6227 3.9958 -0.35845 -3.9047 
-2.1979 -2.1252 1.7151 0.45171 
-1.7015 -0.010356 -0.99337 -0.53104 
-1.8974 3.5074 -1.7842 -3.8491 
-2.9883 0.31245 0.45041 0.068951 
-0.77461 -1.8768 2.4023 1.1319 
-0.56877 1.4174 -1.4252 -1.1246 
-1.2846 3.2715 -1.7671 -3.2608 
-1.2244 1.7485 -1.4801 -1.4181 
-0.86339 1.9348 -2.3729 -1.0897 
-1.4427 3.2922 -1.9702 -3.4392 
0.50225 0.65388 -1.1793 0.39998 
-2.3142 2.0838 -0.46813 -1.6767 
-2.4365 3.6026 -1.4166 -2.8948 
-0.30432 2.6528 -2.7756 -0.65647 
-0.8734 1.6533 -2.1964 -0.78061 
-3.4083 4.8587 -0.76888 -4.8668 
-2.564 -1.7051 1.5026 0.32757 
-1.3971 3.3191 -1.3927 -1.9948 
-2.2804 -0.30626 1.3347 1.3763 
-0.025314 -0.17383 -0.11339 1.2198 
-0.95403 1.9824 -2.3163 -1.1957 
-0.61442 -0.091058 -0.31818 0.50214 
-2.2501 3.3129 -0.88369 -2.8974 
-1.7582 2.7397 -2.5323 -2.234 
0.83625 1.1071 -2.4706 -0.062945 
-0.11716 0.60422 -0.38587 -0.059065 
-4.2333 4.9166 -0.49212 -5.3207 
-2.5912 -0.10554 1.2798 1.0414 
